surface	subs_rank	wiki_rank	subs_count	wiki_count	worst_rank
l	1	1	36341	10978	1
d	2	2	35898	7484	2
m	3	23	17766	1332	23
ben	13	27	1411	1261	27
dóna	20	37	870	1094	37
companyia	49	48	418	856	49
the	69	49	322	839	69
voltant	73	20	314	1369	73
través	85	11	284	1854	85
seua	117	28	230	1248	117
humana	153	141	201	453	153
fou	174	3	190	7185	174
sant	223	216	158	353	223
s	5	227	8513	340	227
plena	93	249	256	318	249
n	6	250	7617	318	250
oferir	250	163	145	413	250
senyor	7	286	4495	299	286
depèn	211	314	165	280	314
aparèixer	321	59	124	721	321
ésser	338	101	121	533	338
pertany	274	344	135	267	344
of	348	16	118	1631	348
desaparèixer	140	430	211	240	430
sexual	381	463	112	231	463
útil	312	470	127	230	470
fàcilment	484	300	94	289	484
ús	487	10	94	1936	487
succeir	463	488	96	226	488
tribu	488	438	94	237	488
científic	399	501	108	223	501
noble	516	493	90	225	516
russos	523	502	89	223	523
tripulació	315	544	126	213	544
enorme	325	582	124	207	582
pilot	305	592	128	205	592
americana	596	310	81	283	596
potència	600	289	81	297	600
di	607	580	80	207	607
cerca	616	607	80	201	616
càncer	347	618	119	199	618
destrucció	621	597	79	203	621
alliberar	521	623	89	198	623
científics	627	223	79	346	627
éssers	629	653	79	192	653
global	644	658	77	191	658
evident	653	663	77	190	663
y	666	74	76	623	666
cobert	687	298	74	292	687
ocasió	691	295	73	294	691
recollir	367	692	115	185	692
ex	695	584	73	207	695
impressió	701	649	73	193	701
espacial	703	486	73	226	703
e	705	277	72	303	705
veïns	716	195	72	371	716
in	718	115	72	503	718
cantonada	626	720	79	181	720
moral	721	687	72	185	721
desaparegut	96	728	253	180	728
temporal	732	659	71	191	732
circumstàncies	551	736	86	178	736
japonès	663	737	76	178	737
romandre	738	146	70	445	738
cercle	749	487	70	226	749
bàsicament	754	686	70	185	754
and	757	61	70	711	757
capturar	762	522	69	218	762
retorn	768	202	69	364	768
danys	772	646	69	193	772
jueus	777	306	69	284	777
possiblement	784	379	68	254	784
reputació	633	789	78	169	789
trànsit	798	757	67	174	798
mitjana	802	51	66	821	802
signar	806	235	66	333	806
petició	825	688	65	185	825
còpia	696	827	73	164	827
celebrar	830	170	65	399	830
requereix	832	296	65	293	832
lletra	843	263	64	308	843
cementiri	846	385	64	252	846
rus	848	409	64	247	848
elèctrica	804	851	66	161	851
pou	677	856	75	160	856
devia	339	863	121	159	863
cantó	879	617	63	199	879
convèncer	372	880	114	158	880
raça	585	885	83	157	885
disponible	885	424	62	242	885
previst	888	805	62	166	888
passeig	892	889	62	157	892
eliminar	896	425	62	242	896
adequat	704	898	73	156	898
sensació	291	901	131	155	901
rebels	913	689	60	185	913
senyors	46	920	441	153	920
explicació	492	926	93	153	926
extremadament	928	846	59	161	928
nobles	932	517	59	219	932
subjecte	874	933	63	152	933
do	504	935	92	152	935
indis	343	944	120	151	944
encarregat	946	589	58	206	946
canó	949	436	58	237	949
aventura	723	954	72	150	954
renunciar	956	771	58	172	956
cognom	962	662	58	190	962
relacionat	972	639	57	195	972
permès	817	975	66	147	975
tancs	878	976	63	147	976
