surface	subs_rank	wiki_rank	subs_count	wiki_count	worst_rank
پیدا	15	44	62231	2473	44
یعنی	50	75	25029	1786	75
باعث	75	23	18215	3209	75
اولین	94	11	16590	4027	94
ادامه	98	39	15392	2597	98
خانواده	101	101	15020	1553	101
دنیا	74	102	18612	1529	102
سمت	103	56	14817	2138	103
وارد	105	41	14437	2553	105
رو	1	108	833255	1456	108
ازدواج	108	97	14266	1614	108
آخرین	121	111	13244	1428	121
مرگ	124	60	13075	2032	124
جان	137	138	12110	1255	138
موضوع	142	115	11974	1402	142
عنوان	148	2	11659	12200	148
غیر	149	90	11626	1698	149
اندازه	116	155	13486	1181	155
روش	171	51	10675	2284	171
مدرسه	174	157	10588	1173	174
تیم	175	24	10560	3188	175
اجازه	76	176	18175	1093	176
ترک	194	178	9694	1088	194
دلار	195	148	9646	1221	195
خارج	197	82	9604	1740	197
لازم	97	200	15832	1005	200
بدن	206	127	9366	1315	206
کنترل	209	81	9296	1767	209
طول	213	8	9126	5355	213
افراد	218	48	8961	2353	218
عالی	135	221	12332	942	221
تحت	226	34	8732	2731	226
اش	88	233	16677	912	233
طور	233	232	8336	913	233
انسان	241	100	8122	1566	241
جدا	242	173	7991	1114	242
پلیس	73	259	18661	804	259
کامل	274	91	7101	1662	274
واقع	275	6	7097	7834	275
مواد	276	53	7052	2245	276
ساله	281	197	6831	1012	281
آزاد	284	107	6777	1473	284
قابل	287	29	6693	2885	287
عمل	290	65	6616	1910	290
بدین	248	293	7803	769	293
رفتار	263	296	7362	768	296
پادشاه	296	262	6507	800	296
رد	180	298	10324	765	298
دی	299	214	6413	966	299
اهمیت	302	240	6365	880	302
دستور	308	196	6294	1014	308
بدست	310	174	6252	1111	310
اند	311	281	6236	783	311
شماره	157	313	11331	751	313
جمع	165	317	11031	747	317
میلیون	317	63	6084	1931	317
حاضر	320	114	6040	1404	320
ماشین	54	323	21816	739	323
کافی	155	329	11370	720	329
باقی	330	163	5908	1147	330
حساب	232	331	8370	716	331
ی	8	336	96345	705	336
مجبور	153	337	11405	703	337
حل	338	207	5787	978	338
برنده	340	330	5767	719	340
آمریکا	341	18	5754	3719	341
منطقه	348	20	5647	3322	348
ساده	358	312	5526	752	358
کننده	144	359	11888	664	359
دریافت	362	54	5514	2191	362
ارتش	370	94	5427	1621	370
سعی	52	376	23285	642	376
چنین	376	83	5310	1737	376
جز	366	377	5468	641	377
شبیه	134	379	12370	638	379
پا	278	381	6956	637	381
درخواست	382	355	5228	671	382
مسئله	391	252	5132	822	391
مبارزه	236	393	8208	627	393
موقعیت	393	370	5066	650	393
آسیب	357	396	5534	624	396
محل	403	76	4954	1781	403
دکتر	70	409	19074	605	409
مرکز	416	37	4732	2659	416
برابر	419	28	4713	2901	419
پی	421	137	4677	1258	421
سریع	156	422	11362	584	422
نوع	426	30	4612	2878	426
کلاس	427	399	4610	623	427
مربوط	432	74	4543	1800	432
تخت	438	415	4407	599	438
نجات	95	444	16247	553	444
جهان	444	19	4368	3680	444
ایجاد	447	10	4343	4322	447
دنیای	380	450	5270	547	450
علاقه	267	459	7253	532	459
قرمز	462	390	4220	631	462
شخصی	464	202	4212	998	464
نور	466	165	4194	1141	466
توضیح	282	467	6804	516	467
متوجه	122	475	13180	511	475
دستگیر	480	441	4110	555	480
قطع	353	482	5562	506	482
نگه	80	489	17478	495	489
نیویورک	439	499	4401	490	499
دانشگاه	500	13	3949	3797	500
بن	501	105	3948	1495	501
هواپیما	461	503	4232	486	503
تک	503	435	3912	562	503
افتاد	143	506	11963	485	506
متوقف	504	508	3901	483	508
غذا	207	513	9356	480	513
اثر	514	33	3830	2794	514
علیه	516	150	3826	1200	516
جزیره	517	250	3815	828	517
جاده	449	518	4331	476	518
صدا	244	519	7910	476	519
شاه	522	50	3787	2292	522
اسب	505	531	3895	468	531
اشتباه	100	532	15079	467	532
طولانی	533	324	3699	738	533
آمریکایی	534	145	3693	1237	534
خدمت	545	242	3612	874	545
اشاره	547	45	3606	2462	547
قبول	139	554	12035	449	554
همسر	558	378	3528	639	558
عادی	565	473	3504	512	565
فوق	247	566	7804	438	566
اضافه	566	210	3486	969	566
طبق	569	180	3476	1078	569
تماس	129	570	12794	433	570
اهل	572	211	3454	969	572
وسیله	573	335	3442	706	573
مسئول	574	569	3439	434	574
قوانین	577	301	3415	762	577
اجرا	578	87	3408	1705	578
مقابل	581	139	3386	1252	581
ثانیه	384	584	5202	424	584
ویژه	584	103	3371	1525	584
انگلیسی	586	106	3362	1487	586
دسته	596	273	3320	792	596
نقطه	603	212	3295	968	603
حلقه	556	606	3554	409	606
معرفی	609	95	3284	1619	609
بقیه	96	612	15841	405	612
برخورد	612	369	3248	650	612
م	220	615	8903	403	615
انتظار	326	616	5969	402	616
حفظ	621	187	3171	1039	621
سن	627	129	3148	1298	627
