kind	lexemeA	targetA	lexemeB	targetB	count
vobj	lx-0038	ser	lx-0069	casa	37
vobj	lx-0062	haver	lx-1257	estat	33
vobj	lx-0038	ser	lx-0096	llibre	31
vobj	lx-0116	llegir	lx-0096	llibre	19
vobj	lx-0057	anar	lx-0321	platja	18
vobj	lx-0053	fer	lx-0135	mal	17
vobj	lx-0103	parlar	lx-0001	català	17
vobj	lx-0054	tenir	lx-0067	any	17
vobj	lx-0062	haver	lx-0890	dit	16
vobj	lx-0054	tenir	lx-0073	temps	16
mod	lx-0069	casa	lx-0217	gran	14
vobj	lx-0053	fer	lx-0067	any	13
vobj	lx-0038	ser	lx-0097	taula	13
vobj	lx-0057	anar	lx-0069	casa	12
vobj	lx-0063	estar	lx-1555	acord	12
vobj	lx-0062	haver	lx-0096	llibre	12
vobj	lx-0038	ser	lx-0928	clau	12
vobj	lx-0057	anar	lx-0067	any	11
vobj	lx-0057	anar	lx-1145	jutge	11
vobj	lx-0057	anar	lx-0099	escola	10
vobj	lx-0062	haver	lx-4136	publicat	10
vobj	lx-0062	haver	lx-1045	rebut	10
vobj	lx-0057	anar	lx-0083	cap	9
vobj	lx-0057	anar	lx-0093	ciutat	9
vobj	lx-0057	anar	lx-0096	llibre	9
vobj	lx-0063	estar	lx-1867	ple	9
vobj	lx-0062	haver	lx-4123	demanat	9
vobj	lx-0054	tenir	lx-0080	feina	9
vobj	lx-0054	tenir	lx-0092	germà	9
vobj	lx-0054	tenir	lx-1019	problema	9
vobj	lx-0057	anar	lx-0338	hora	8
vobj	lx-0115	escoltar	lx-0317	música	8
vobj	lx-0062	haver	lx-4129	adonat	8
vobj	lx-0062	haver	lx-0069	casa	8
vobj	lx-0062	haver	lx-0077	gent	8
vobj	lx-0038	ser	lx-0100	cotxe	8
vobj	lx-0038	ser	lx-0070	home	8
vobj	lx-0038	ser	lx-0338	hora	8
vobj	lx-0038	ser	lx-1019	problema	8
vobj	lx-0054	tenir	lx-1041	diners	8
vobj	lx-0057	anar	lx-2510	lladre	7
vobj	lx-0057	anar	lx-0407	metge	7
vobj	lx-1169	aprovar	lx-0537	examen	7
vobj	lx-0053	fer	lx-0073	temps	7
vobj	lx-0107	passar	lx-0067	any	7
vobj	lx-0126	prendre	lx-0867	decisió	7
vobj	lx-0059	saber	lx-0315	resposta	7
vobj	lx-0038	ser	lx-0001	català	7
vobj	lx-0038	ser	lx-0324	cel	7
vobj	lx-0038	ser	lx-0867	decisió	7
vobj	lx-0038	ser	lx-0068	dia	7
vobj	lx-0038	ser	lx-2039	edifici	7
vobj	lx-0038	ser	lx-0782	resultat	7
vobj	lx-0054	tenir	lx-0096	llibre	7
mod	lx-0069	casa	lx-0218	petit	6
mod	lx-1260	llei	lx-0219	nou	6
vobj	lx-0123	acabar	lx-0080	feina	6
vobj	lx-1616	agafar	lx-0559	tren	6
vobj	lx-0057	anar	lx-1394	director	6
vobj	lx-0057	anar	lx-2126	discurs	6
vobj	lx-0057	anar	lx-0080	feina	6
vobj	lx-0057	anar	lx-0610	teatre	6
vobj	lx-0057	anar	lx-0073	temps	6
vobj	lx-0638	enviar	lx-0545	correu	6
vobj	lx-0053	fer	lx-0953	calor	6
vobj	lx-0038	ser	lx-0079	aigua	6
vobj	lx-0038	ser	lx-0093	ciutat	6
vobj	lx-0038	ser	lx-4194	complexa	6
vobj	lx-0038	ser	lx-1394	director	6
vobj	lx-0038	ser	lx-0330	gos	6
vobj	lx-0038	ser	lx-0318	pel·lícula	6
vobj	lx-0038	ser	lx-1026	situació	6
vobj	lx-0054	tenir	lx-0083	cap	6
vobj	lx-0196	venir	lx-0067	any	6
mod	lx-0330	gos	lx-0218	petit	5
mod	lx-0073	temps	lx-0215	bo	5
vobj	lx-0057	anar	lx-1553	acusat	5
vobj	lx-0057	anar	lx-0100	cotxe	5
vobj	lx-0057	anar	lx-1330	empresa	5
vobj	lx-0057	anar	lx-0139	estiu	5
vobj	lx-0057	anar	lx-1260	llei	5
vobj	lx-0057	anar	lx-1573	notícia	5
vobj	lx-0057	anar	lx-0973	partit	5
vobj	lx-0057	anar	lx-0546	reunió	5
vobj	lx-0118	comprar	lx-4096	regal	5
vobj	lx-0056	dir	lx-1030	veritat	5
vobj	lx-0061	donar	lx-0096	llibre	5
vobj	lx-0199	dormir	lx-0338	hora	5
vobj	lx-0053	fer	lx-0083	cap	5
vobj	lx-0053	fer	lx-4063	soroll	5
vobj	lx-0062	haver	lx-3873	èxit	5
vobj	lx-0062	haver	lx-0338	hora	5
vobj	lx-0101	menjar	lx-0289	pa	5
vobj	lx-0101	menjar	lx-0296	peix	5
vobj	lx-0038	ser	lx-0291	cafè	5
vobj	lx-0038	ser	lx-0083	cap	5
vobj	lx-0038	ser	lx-2768	complex	5
vobj	lx-0038	ser	lx-0667	concepte	5
vobj	lx-0038	ser	lx-0341	família	5
vobj	lx-0038	ser	lx-0329	flor	5
vobj	lx-0038	ser	lx-0092	germà	5
vobj	lx-0038	ser	lx-0078	nen	5
vobj	lx-0038	ser	lx-0549	objectiu	5
vobj	lx-0038	ser	lx-0289	pa	5
vobj	lx-0038	ser	lx-0294	poma	5
vobj	lx-0038	ser	lx-4421	procés	5
vobj	lx-0038	ser	lx-0535	projecte	5
vobj	lx-0054	tenir	lx-0093	ciutat	5
vobj	lx-0196	venir	lx-0069	casa	5
vobj	lx-0058	veure	lx-0068	dia	5
vobj	lx-0060	voler	lx-0079	aigua	5
vobj	lx-0060	voler	lx-0291	cafè	5
vobj	lx-0060	voler	lx-0136	got	5
vobj	lx-0060	voler	lx-0289	pa	5
mod	lx-0094	carrer	lx-2827	estret	4
mod	lx-0069	casa	lx-0234	blanc	4
mod	lx-1125	delicte	lx-4091	greu	4
mod	lx-0342	poble	lx-0218	petit	4
mod	lx-1019	problema	lx-4091	greu	4
mod	lx-0789	sistema	lx-0947	nerviós	4
vobj	lx-0209	agradar	lx-0291	cafè	4
vobj	lx-0057	anar	lx-1269	alcalde	4
vobj	lx-0057	anar	lx-0656	canvi	4
vobj	lx-0057	anar	lx-0928	clau	4
vobj	lx-0057	anar	lx-4372	cop	4
vobj	lx-0057	anar	lx-0076	cosa	4
vobj	lx-0057	anar	lx-0867	decisió	4
vobj	lx-0057	anar	lx-1905	exèrcit	4
vobj	lx-0057	anar	lx-4208	final	4
vobj	lx-0057	anar	lx-1625	grup	4
vobj	lx-0057	anar	lx-1766	incendi	4
vobj	lx-0057	anar	lx-0417	malaltia	4
vobj	lx-0057	anar	lx-4146	manera	4
vobj	lx-0057	anar	lx-0335	mercat	4
vobj	lx-0057	anar	lx-0078	nen	4
vobj	lx-0057	anar	lx-0296	peix	4
vobj	lx-0057	anar	lx-0342	poble	4
vobj	lx-0057	anar	lx-1136	policia	4
vobj	lx-0057	anar	lx-0339	setmana	4
vobj	lx-0057	anar	lx-1131	sospitós	4
vobj	lx-0057	anar	lx-1134	testimoni	4
vobj	lx-0057	anar	lx-0556	viatge	4
vobj	lx-0118	comprar	lx-0289	pa	4
vobj	lx-0512	durar	lx-0338	hora	4
vobj	lx-0053	fer	lx-0289	pa	4
vobj	lx-0053	fer	lx-0325	sol	4
vobj	lx-0062	haver	lx-0067	any	4
vobj	lx-0062	haver	lx-0083	cap	4
vobj	lx-0062	haver	lx-1330	empresa	4
vobj	lx-0062	haver	lx-0289	pa	4
vobj	lx-0062	haver	lx-0089	pare	4
vobj	lx-0062	haver	lx-0342	poble	4
vobj	lx-0062	haver	lx-4096	regal	4
vobj	lx-0200	jugar	lx-0078	nen	4
vobj	lx-0101	menjar	lx-0069	casa	4
vobj	lx-0101	menjar	lx-0293	fruita	4
vobj	lx-0183	perdre	lx-0928	clau	4
vobj	lx-0108	quedar	lx-0069	casa	4
vobj	lx-0038	ser	lx-0088	amic	4
vobj	lx-0038	ser	lx-3151	ample	4
vobj	lx-0038	ser	lx-0328	arbre	4
vobj	lx-0038	ser	lx-0334	botiga	4
vobj	lx-0038	ser	lx-0887	cara	4
vobj	lx-0038	ser	lx-0094	carrer	4
vobj	lx-0038	ser	lx-2020	constant	4
vobj	lx-0038	ser	lx-1125	delicte	4
vobj	lx-0038	ser	lx-2137	expressió	4
vobj	lx-0038	ser	lx-0091	fill	4
vobj	lx-0038	ser	lx-4208	final	4
vobj	lx-0038	ser	lx-0331	gat	4
vobj	lx-0038	ser	lx-0662	idea	4
vobj	lx-0038	ser	lx-0319	joc	4
vobj	lx-0038	ser	lx-4069	lloc	4
vobj	lx-0038	ser	lx-4106	mica	4
vobj	lx-0038	ser	lx-0322	muntanya	4
vobj	lx-0038	ser	lx-0342	poble	4
vobj	lx-0038	ser	lx-4209	presidenta	4
vobj	lx-0038	ser	lx-0768	qualitat	4
vobj	lx-0038	ser	lx-4116	qüestió	4
vobj	lx-0038	ser	lx-0789	sistema	4
vobj	lx-0038	ser	lx-0073	temps	4
vobj	lx-0038	ser	lx-0382	terra	4
vobj	lx-0038	ser	lx-1623	valor	4
vobj	lx-4072	suspendre	lx-0973	partit	4
vobj	lx-0121	tancar	lx-0334	botiga	4
vobj	lx-0054	tenir	lx-0005	gana	4
vobj	lx-0054	tenir	lx-1018	raó	4
vobj	lx-0105	treballar	lx-1330	empresa	4
vobj	lx-0196	venir	lx-0320	festa	4
vobj	lx-0104	viure	lx-0342	poble	4
vobj	lx-0060	voler	lx-0001	català	4
mod	lx-0079	aigua	lx-0233	fred	3
mod	lx-0100	cotxe	lx-0219	nou	3
mod	lx-1330	empresa	lx-0217	gran	3
mod	lx-0099	escola	lx-0217	gran	3
mod	lx-0091	fill	lx-0218	petit	3
mod	lx-0096	llibre	lx-0219	nou	3
mod	lx-0006	noi	lx-0222	alt	3
mod	lx-1573	notícia	lx-0179	últim	3
mod	lx-0549	objectiu	lx-4374	principal	3
vobj	lx-0123	acabar	lx-0535	projecte	3
vobj	lx-2736	afinar	lx-3918	instrument	3
vobj	lx-0209	agradar	lx-0069	casa	3
vobj	lx-0209	agradar	lx-0316	història	3
vobj	lx-0207	ajudar	lx-1007	vol	3
vobj	lx-0057	anar	lx-4565	accident	3
vobj	lx-0057	anar	lx-1392	actor	3
vobj	lx-0057	anar	lx-0960	alumne	3
vobj	lx-0057	anar	lx-0995	bar	3
vobj	lx-0057	anar	lx-1139	comissaria	3
vobj	lx-0057	anar	lx-0613	concert	3
vobj	lx-0057	anar	lx-0068	dia	3
vobj	lx-0057	anar	lx-2039	edifici	3
vobj	lx-0057	anar	lx-0832	equip	3
vobj	lx-0057	anar	lx-0320	festa	3
vobj	lx-0057	anar	lx-1902	guerra	3
vobj	lx-0057	anar	lx-3804	mestre	3
vobj	lx-0057	anar	lx-4435	mur	3
vobj	lx-0057	anar	lx-4386	ordre	3
vobj	lx-0057	anar	lx-0413	pacient	3
vobj	lx-0057	anar	lx-1929	pas	3
vobj	lx-0057	anar	lx-0029	persona	3
vobj	lx-0057	anar	lx-0326	pluja	3
vobj	lx-0057	anar	lx-1011	port	3
vobj	lx-0057	anar	lx-4102	premi	3
vobj	lx-0057	anar	lx-0535	projecte	3
vobj	lx-0057	anar	lx-1398	públic	3
vobj	lx-0057	anar	lx-0315	resposta	3
vobj	lx-0057	anar	lx-0382	terra	3
vobj	lx-0057	anar	lx-1144	tribunal	3
vobj	lx-0057	anar	lx-1009	vaixell	3
vobj	lx-3846	aparcar	lx-0100	cotxe	3
vobj	lx-1169	aprovar	lx-1260	llei	3
vobj	lx-0106	arribar	lx-0069	casa	3
vobj	lx-0106	arribar	lx-0338	hora	3
vobj	lx-0106	arribar	lx-0073	temps	3
vobj	lx-0102	beure	lx-0079	aigua	3
vobj	lx-0212	buscar	lx-0029	persona	3
vobj	lx-0188	canviar	lx-0080	feina	3
vobj	lx-0122	començar	lx-0339	setmana	3
vobj	lx-0118	comprar	lx-0100	cotxe	3
vobj	lx-0118	comprar	lx-0293	fruita	3
vobj	lx-0118	comprar	lx-0096	llibre	3
vobj	lx-0118	comprar	lx-0335	mercat	3
vobj	lx-0147	costar	lx-0069	casa	3
vobj	lx-0056	dir	lx-0711	te	3
vobj	lx-0061	donar	lx-4069	lloc	3
vobj	lx-0061	donar	lx-4386	ordre	3
vobj	lx-0199	dormir	lx-0084	nit	3
vobj	lx-0512	durar	lx-0339	setmana	3
